DaSH,,,,,,,,,
Table,Field,Type,Max length,N rows,N rows checked,Fraction empty,N unique values,Fraction unique,
0_DaSH538_Biochemistry_Release.csv,PROCHI,VARCHAR,10,-1,100000,0.00%,451,0.50%,
0_DaSH538_Biochemistry_Release.csv,Age_Band,INT,1,-1,100000,0.00%,6,0.00%,
0_DaSH538_Biochemistry_Release.csv,Date_of_Test,DATE,10,-1,100000,0.00%,2301,2.30%,
0_DaSH538_Biochemistry_Release.csv,Date_of_Sample,DATE,10,-1,100000,0.00%,2219,2.20%,
0_DaSH538_Biochemistry_Release.csv,Order_Code,VARCHAR,6,-1,100000,0.00%,190,0.20%,
0_DaSH538_Biochemistry_Release.csv,Order_Code_Desc,VARCHAR,30,-1,100000,0.00%,189,0.20%,
0_DaSH538_Biochemistry_Release.csv,Test_Code,VARCHAR,6,-1,100000,0.00%,231,0.20%,
0_DaSH538_Biochemistry_Release.csv,Test_Description,VARCHAR,29,-1,100000,0.00%,232,0.20%,
0_DaSH538_Biochemistry_Release.csv,Read_Code,VARCHAR,5,-1,100000,8.80%,180,0.20%,
0_DaSH538_Biochemistry_Release.csv,Result,VARCHAR,6,-1,100000,0.00%,2378,2.40%,
0_DaSH538_Biochemistry_Release.csv,Result_Extension,VARCHAR,20,-1,100000,4.50%,2376,2.40%,
0_DaSH538_Biochemistry_Release.csv,Test_Units,VARCHAR,12,-1,100000,32.80%,48,0.00%,
0_DaSH538_Biochemistry_Release.csv,Reference_Range,VARCHAR,11,-1,100000,30.10%,204,0.20%,
,,,,,,,,,
DaSH538_Haematology_Release.csv,PROCHI,VARCHAR,10,-1,100000,0.00%,323,0.30%,
DaSH538_Haematology_Release.csv,Age_Band,INT,1,-1,100000,0.00%,6,0.00%,
DaSH538_Haematology_Release.csv,Date_of_Test,DATE,10,-1,100000,0.00%,2116,2.10%,
DaSH538_Haematology_Release.csv,Date_of_Sample,DATE,10,-1,100000,0.00%,2069,2.10%,
DaSH538_Haematology_Release.csv,Order_Code,VARCHAR,6,-1,100000,0.00%,81,0.10%,
DaSH538_Haematology_Release.csv,Order_Code_Desc,VARCHAR,28,-1,100000,0.00%,78,0.10%,
DaSH538_Haematology_Release.csv,Test_Code,VARCHAR,6,-1,100000,0.00%,123,0.10%,
DaSH538_Haematology_Release.csv,Test_Description,VARCHAR,28,-1,100000,0.00%,118,0.10%,
DaSH538_Haematology_Release.csv,Read_Code,VARCHAR,5,-1,100000,20.60%,66,0.10%,
DaSH538_Haematology_Release.csv,Result,VARCHAR,6,-1,100000,0.00%,1823,1.80%,
DaSH538_Haematology_Release.csv,Result_Extension,VARCHAR,20,-1,100000,0.10%,1822,1.80%,
DaSH538_Haematology_Release.csv,Test_Units,VARCHAR,10,-1,100000,8.80%,23,0.00%,
DaSH538_Haematology_Release.csv,Reference_Range,VARCHAR,10,-1,100000,20.00%,75,0.10%,
,,,,,,,,,
"DataLoch (Each year's data is stored in a separate table, and all seven tables share the same structure.)",,,,,,,,,
Table,Field,Description,Type,Max length,N rows,N rows checked,Fraction empty,N unique values,Fraction unique
0_CD_3564_Lab_Data_2015_corrected_V2.txt,PROCHI,,VARCHAR,10,-1,99993,0.0%,1787,1.8%
0_CD_3564_Lab_Data_2015_corrected_V2.txt,pid,,VARCHAR,37,-1,99993,0.0%,1787,1.8%
0_CD_3564_Lab_Data_2015_corrected_V2.txt,SpecimenCollectionDate,,DATE,10,-1,99993,0.0%,365,0.4%
0_CD_3564_Lab_Data_2015_corrected_V2.txt,SpecimenCollectionTime,,VARCHAR,5,-1,99993,0.0%,1138,1.1%
0_CD_3564_Lab_Data_2015_corrected_V2.txt,TestItem,,VARCHAR,30,-1,99993,0.0%,433,0.4%
0_CD_3564_Lab_Data_2015_corrected_V2.txt,TestItemCode,,VARCHAR,5,-1,99993,0.0%,429,0.4%
0_CD_3564_Lab_Data_2015_corrected_V2.txt,Value,,VARCHAR,17,-1,99993,0.5%,2889,2.9%
0_CD_3564_Lab_Data_2015_corrected_V2.txt,Unit,,VARCHAR,21,-1,99993,2.7%,66,0.1%
0_CD_3564_Lab_Data_2015_corrected_V2.txt,RangeMin,,VARCHAR,5,-1,99993,12.9%,140,0.1%
0_CD_3564_Lab_Data_2015_corrected_V2.txt,RangeMax,,VARCHAR,4,-1,99993,12.9%,173,0.2%
,,,,,,,,,
Glasgow Safe Haven,,,,,,,,,
Table,Field,Type,Max length,N rows,N rows checked,Fraction empty,N unique values,Fraction unique,
SCI_Store_20220802.csv,PROCHI,VARCHAR,10,-1,100000,0.00%,144,0.10%,
SCI_Store_20220802.csv,DISCIPLINE,VARCHAR,12,-1,100000,0.00%,6,0.00%,
SCI_Store_20220802.csv,SAMPLEDATE,VARCHAR,19,-1,100000,0.00%,1924,1.90%,
