ReadCode,readCodeDescription,HIC_unit,Glasgow_unit,DataLoch_unit,DaSH_unit,Unit,if 
44I4.,Potassium,mmol/L; nmol/L,mmol/L,mmol/L,mmol/L,mmol/L,if nmol/L value 1e-06
44J3.,Creatinine,umol/L,umol/L,umol/L,umol/L; umol/l,umol/L,
451E.,GFR calculated abbreviatd MDRD,mL/min,ml/min; mL/min,ml/min,,ml/min,
44I5.,Sodium,mmol/L,mmol/L,mmol/L,mmol/L,mmol/L,
423..,Haemoglobin,g/L; g/l,g/l; g/L,g/L,g/L; g/l; HARRY; BOB; DICK,g/L,
42H..,WBC,x10^9/L; x10-9/l; x10 9/L,x10^9/l,10^9/L,x10^9/l; x10^9/; HARRY; BOB,10^9/L,
42M..,Lymphocyte count,x10^9/L; x10-9/l; x10 9/L,x10^9/l; cells/cmm; x10^9/L,10^9/L,x10^9/l; DICK; BOB,10^9/L,
42P..,Platelet count,x10^9/L; x10-9/l,x10^9/l,10^9/L,x10^9/l; HARRY; DICK; BOB,10^9/L,
429..,MCHC,g/L; g/l,NoData,g/L,g/dl; g/l; BOB; DICK; HARRY,g/L,if g/dl value 10
42A..,MCV,fl,fl,fL,fl; HARRY; DICK,fL,
428..,MCH,pg,pg,pg,pg,pg,
426..,RBC,x10^12/L; x10-12/l,x10^12/l,10^12/L,x10^12/l; DICK,10^12/L,
42J..,Neutrophil count,x10^9/L; x10-9/l,x10^9/l; x10^9/L,10^9/L,x10^9/l; HARRY; BOB; DICK,10^9/L,
42N..,Monocyte count,x10^9/L; x10-9/l,x10^9/l; x10^9/L,10^9/L,x10^9/l; BOB,10^9/L,
42K..,Eosinophil count,x10^9/L; x10-9/l,x10^9/l; x10^9/L,10^9/L,x10^9/l; BOB; DICK,10^9/L,
42L..,Basophil count,x10^9/L; x10-9/l,x10^9/l; x10^9/L,10^9/L,x10^9/l; HARRY,10^9/L,
44M4.,Albumin,g/L,g/L,g/L,g/L,g/L,
44F..,Serum alkaline phosphatase,U/L,U/L,U/L,U/L,U/L,
44EC.,Serum total bilirubin level,umol/L,umol/L,umol/L,umol/L,umol/L,
451L.,AKI warning stage,.,NoData,,,,
451G.,GFR calctd abbtd MDRD Af Am or,.,NoData,NoData,NoData,,
4258.,Haematocrit,,l/l; %,ratio,%,%,
44GB.,Serum ALT level,U/L,NoData,U/L,U/L,U/L,
44J9.,Urea,mmol/L,mmol/L,mmol/L,mmol/L,mmol/L,
44I8.,Calcium,mmol/L,mmol/L,mmol/L,mmol/L,mmol/L,
44IC.,Corrected serum calcium level,mmol/L,mmol/L,mmol/L,mmol/l; mmol/L,mmol/L,
44g..,Glucose,mmol/L,mmol/L,mmol/L,mmol/L; mmol/l,mmol/L,
42Z7.,RDW,,NoData,NoData,NoData,,
425..,HCT,%,NoData,NoData,l/l; DICK,%,
442W.,TSH,mU/L,mU/L,mU/L,mU/L; mu/L,mU/L,
