10 tests� frequency and quantity Value statistic based on pre-processed data,,,,,,,,
"""valueQuantity"" value is used to calculate the <Median [Interquartile Range] | Mean (Standard Deviation)> .",,,,,,,,
Test frequent calculated as record count per 1000 patients. ,,,,,,,,
ReadCode,HIC_test_freq,Glasgow_test_freq,DataLoch_test_freq,DaSH_test_freq,HIC_valueQuantity,Glasgow_valueQuantity,DataLoch_valueQuantity,DaSH_valueQuantity
44I4.,13.642,18.885,17.445,16.048,4.3 [0.7] | 4.4 (0.5),4.3 [0.6] | 4.3 (0.5),4.3 [0.6] | 4.3 (0.5),4.3 [0.5] | 4.3 (0.5)
44J3.,13.479,18.682,17.096,15.628,75 [32] | 83.4 (36.3),71 [28] | 79.8 (32.5),73 [28] | 84.2 (33.2),72 [29] | 79.4 (30.3)
451E.,13.905,19.409,14.08,16.027,120 [108] | 71.6 (52),120 [0] | 100.1 (36.1),120 [0] | 116.3 (14.8),120 [0] | 101.7 (34.2)
44I5.,13.712,19.301,17.817,16.127,140 [4] | 139 (3.6),139 [3] | 138.3 (3.4),139 [4] | 138.6 (3.6),140 [3] | 139.4 (3.2)
44M4.,11.575,23.101,5.936,14.126,38 [8] | 37.3 (6.9),36 [7] | 34.8 (6.7),36 [8] | 34.4 (6.4),38 [6] | 36.5 (6)
44J9.,7.279,19.108,11.919,16,6 [4.1] | 7.4 (4.7),5.3 [3] | 6 (3.3),5.5 [3.6] | 6.7 (4.1),5.5 [2.8] | 6.2 (2.9)
44I8.,5.097,6.38,5.431,4.84,2.3 [0.2] | 2.3 (0.2),2.3 [0.2] | 2.3 (0.2),2.3 [0.2] | 2.3 (0.2),2.3 [0.2] | 2.3 (0.2)
44IC.,5.079,6.375,5.414,4.832,2.3 [0.2] | 2.3 (0.1),2.4 [0.2] | 2.4 (0.1),2.4 [0.1] | 2.4 (0.1),2.4 [0.2] | 2.4 (0.1)
442W.,3.718,3.585,3.586,3.983,1.7 [1.6] | 2 (1.5),1.2 [1.2] | 1.5 (1.3),1.5 [1.5] | 1.9 (1.5),1.5 [1.4] | 1.8 (1.4)
44P5.,2.991,2.186,2.19,3.513,1.3 [0.6] | 1.4 (0.4),1.3 [0.5] | 1.3 (0.4),1.3 [0.6] | 1.3 (0.4),1.3 [0.6] | 1.3 (0.4)
